hebrew,english
"העותרת, בהכריעו כפי שהכריע חידש בית-המשפט הלכה, והלכה זו סותרת הלכות קודמות שקבעו כי פטור משירות ביטחון מטעמי מצפון לחוק. יתרה מזאת: הלכה 39לנשים מוסדר באופן בלעדי בסעיף לחוק 39שנפסקה ולפיה המושג ""טעמים שבמצפון"" שבהוראת סעיף","The judgment, as determined by the new court went, and this went contrary to the previous judgments that determined that exemption from security services for reasons of consciousness to the law. Furthermore, the judgment for women was exclusively arranged in Article 39 of the law which was terminated and according to the concept of ""sens in consciousness"" in the provisions of Article 39 of the law."
"עניינו טעמי מצפון שמקורם בדת, במסורת ובהווי משפחתי, הלכה קשה","Our affairs of conscience that originate in religion, tradition and family being, went hard."
"אי-שוויוןהיא המנוגדת ללשון החוק ולתכליתו. יתר-על-כן: יוצרת היא בין נשים חילוניות לבין נשים דתיות, ופוגעת היא בזכותן החוקית .והחוקתית של נשים חילוניות שמצפונן מונע אותן משרת שירות ביטחון","In addition, it creates between secular women and religious women, and it violates the legal and legal rights of secular women who consciously prevent them from serving a security service."
האם ניחָן פסק-הדין נושא העתירה באותן תכונות ייחודיות .7 .8 המצדיקות כי יקוים בו דיון נוסף? אודה ואתוודה: עתירתה של העותרת אכןלא הקלה עימי. אין ספק בליבי כי פסק דינו של בית-המשפט העליון,The judgment of the applicant has the same unique characteristics.7.8 which justify that there will be a further trial in it? I admit and confess: the judgment of the applicant is indeed no relief with me. I have no doubt that the judgment of the Supreme Court
"קובע הלכה חדשה, ולא אך הלכה חדשה אלא הלכה חשובה שאפשר אף תהא שנויה במחלוקת. בכך מתקיימים בחלקם התנאים הקבועים ,1984)ב( לחוק בתי-המשפט 30בהוראת סעיף לקיומו של דיון נוסף. אלא שחידוש הילכתי - ואפילו חידוש הילכתי","It is a new way, not just a new way, but an important way that can even be disputed.There are some of the fixed conditions in 1984.B. Law of the courts, which provides a section for the existence of a further debate.But the renewal of the move - and even the renewal of the move"
"לחוק בתי המשפט - לא 30 המנויות בהוראת סעיף הניחן בתכונות קיומו של דיון נוסף. טעם הדבר הוא, החוק יצדיק בכל מקרה ומקרה היקנה לשופט הדן בעתירה לדיון נוסף שיקול דעת רחב לבחינה האם המקרה שלפניו, על-פי נסיבותיו ועל-פי מאפייניו, משתייך לאותם","The law of the courts - not 30 stated in the provisions of the article stated in the characteristics of the existence of an additional trial. The taste of this is, the law will justify in any case and the case to the judge of the trial requests for an additional trial a broad consideration to examine whether the case before him, according to its circumstances and according to its characteristics, belongs to the same"
".מקרים חריגים-שבחריגים, נדירים-שבנדירים, שבהם יקוים דיון נוסף )מפי 101 ,99 (3, פ""ד לו ראש ההוצאה לפועל נ' ינאי 6/82וכאמור בד""נ מ""מ הנשיא, השופט שמגר(: גם אם ההלכה חשובה, קשה או חדשה, אין בכך בלבד משום צידוק לקיום דיון נוסף ...","There are many exceptional, rare and rare cases in which a further discussion will be held (from 101,99 (3, p.d. to the Chief Executive Officer No. 6/82), as stated by the President of the Republic of Lithuania, the Judge of the Republic of Lithuania: even if the move is important, difficult or new, there is no reason for a further discussion."
"ההיענות לבקשה לדיון נוסף היא בגדר שיקולו של השופט בפניו הובאה העתירה והלה אינו נותן דעתו רק להלכה שנפסקה מבחינת מרכיביה ומאפייניה אלא גם נוקט אמת-מידה מהותו וטיבו של של סינון ובחירה על יסוד העניין המסוים שבפניו. משמע, לצד החידוש",The answer to the request for a further trial is within the judgment of the judge to whom the claim has been brought and the law does not only give his opinion to the move that has been interrupted in terms of its components and characteristics but also takes the truth-size of the essence and nature of the filtration and the choice on the basis of the particular matter in front of him.
"שבהלכה צריך העניין להיבחן גם לאור מכלול נסיבותיה הספציפיות. )טרם פורסם(; דנ""א מדינת ישראל נ' יוסף 2757/04ראו עוד: דנ""פ נ'יעקובוב 983/02 )טרם פורסם(; דנ""פעיריית ירושלים נ' א.מ. חניות 3113/03",The issue must also be examined in the light of the sum of its specific circumstances. )not published(; DNA of the State of Israel N.Joseph 2757/04 see more: DNA of N.Jakobov 983/02 )not published(; DNA of the Operation of Jerusalem N.M. Parks 3113/03
")טרם הרמטכ""לנ' קלכמן 11061/03; דנ""א385 (4, פ""ד נו מדינת ישראל בפורסם(. נתתי אפוא דעתי לטענותיה של העותרת ולטענות המדינה, .8 .9 לנסיבות עניינה של העותרת ולהשלכותיו של פסק הדין, ולאחר שבחנתי","I have given my opinion to the claims of the head of state and to the claims of the state,.8.9 to the circumstances of the head of state and to the consequences of the judgment."
".מסקנה כי דין העתירה להידחותכל אלה היגעתי לכלל ראשית לכל, לא נמצא לי - כטענת העותרת - כי הלכה .9 .10 אכן, תימצאנה לנו בפסיקה אמירות שנפסקה סותרת הילכות עבר. אחדות שניתן ללמוד מהן כי בית-המשפט סבר שנשים זכאיות לפטור",".The conclusion that the law requests to be rejectedThese I reached the first rule of all, I did not find - as the headline claims - that it went.9.10 In fact, we will find in the conclusion statements that stopped against the past move."
"לחוק 36 לחוק ולא מכוחו של סעיף 39מטעמי מצפון מכוחו של סעיף המסדיר עניינם של גברים. אלא שאמירות אלו - שאף למעלת ""הערות של גברים ובעניינו של סעיףאגב"" לא הגיעו - נכתבו אגב דיונים בעניינם לחוק וביחס שבין 39 בלא שנערך כל דיון שהוא בהוראת סעיף 36","In accordance with the provisions of paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph"
". באומרם דברים שאמרו לא 39 לבין הוראת סעיף 36הוראת סעיף שלחוק, אף לא 39נתכוונו בתי המשפט לפסוק הלכה לעניינו של סעיף פסקו הלכה, וממילא לא נוכל לומר כי הלכה שנפסקה בעניינה של העותרת עתה סותרת הילכות עבר.","By saying the things they said not 39 and the provision of article 36 and the provision of article the law, not even 39 we intend the courts to pass the matter of the article his decision went, and in any case we can not say that the postponed in the matter of the title now contradicts the passage past."
"שנית, נתקשה לומר כי ההלכה שנפסקה מצדיקה מבחינת .10 .11 היקפה והשפעתה קיומו של דיון נוסף. עניין כעניינה של העותרת אישה המסרבת לשרת שירות ביטחון מטעמי מצפון ""סלקטיביים"" - עניין נדיר וחריג הוא עד-מאוד, ותעיד על כך העובדה שזו לנו הפעם","Second, it’s hard to say that the break is justified in terms of.10.11 the scope and influence of the existence of a further discussion. an interest as an issue of the headline of a woman who refuses to serve a security service for “selective” reasons of conscience – a rare and unusual issue is extremely, and it testifies to the fact that this is our time"
"הוא אפוא במקרה הראשונה בה נדרש בית-המשפט לסוגיה זו. המדובר ייחודי, נדיר וחריג. וכפי שהסברנו במקום אחר: ""מקרה שכזה - שהוא "" )דנ""פכה ייחודי ונדיר - לא יהיה זה יעיל לשוב ולדון בו דיון נוסף","It is therefore the first case in which the court was required for this matter. the question is unique, rare and unusual. and as we explained elsewhere: ""this case - it is "" )DNA is unique and rare - it will not be effective to repeat and discuss it another discussion"
"11061/03 )טרם פורסם((. ראו עוד: דנ""א מדינת ישראל נ' יוסף 2757/04 פקיד שומה נ' רובינשטיין 8349/03 )טרם פורסם(; דנ""א הרמטכ""לנ' קלכמן שר העבודה והרווחה נ' בקמן 6774/04 )טרם פורסם(; דנ""א למפעלים גדולים",11061/03 )not published(. see more: DNA of the State of Israel N.Joseph 2757/04 Officer Shuma N.Robinstein 8349/03 )not published(; DNA of the Chief Minister of Labour and Welfare N.Kaman 6774/04 )not published(; DNA of large factories
"לא נעלם ממנו כי סרבנות מצפון - בעיקר סרבנות מצפון )טרם פורסם(. סלקטיבית - הופכת בשנים האחרונות לתופעה שכיחה משהיתה בעבר,",It has not disappeared from it because conscious refusal – mostly unpublished conscious refusal – has become a common phenomenon in the past few years.
"ואולם מבחינה סטטיסטית מדובר, בשלב זה, במקרים ספורים בלבד אשר לנשים, נתקלנו עד כה במקרה אחד יחיד ומיוחד - עניינה של .העותרת שלישית, ובכך עיקר: לא נשתכנעתי כי קיומו של דיון נוסף - .11 .12","But statistically it is, at this point, only a few cases that for women, we have encountered so far in one unique and special case - the issue of the third headline, and thus the most important: we will not be convinced that the existence of another discussion -.11.12"
". טעםואפילו תשוּנֶה ההלכה שנפסקה - יהיה בו כדי לסייע לעותרת הדבר: גם אם נחלוק על מסקנת בית-המשפט כי המושג ""טעמים לחוק שירות ביטחון מצמצם עצמו לטעמי 39שבמצפון"" בהוראת סעיף מצפון שמקורם בדת, במסורת ובהווי משפחתי או עדתי - אודה כי","The taste and even the change of the move that has been stopped - will be in it to help address the matter: even if we share the court's conclusion that the concept of ""smack of the law of security service is reduced to my taste 39 in conscience"" in the provision of a section of conscience that is derived from religion, tradition and family or testimony - I will admit that"
"מסקנה זו קשתה עלי - קרוב מאוד להניח כי הבחנות שנעשו לעניינו של לחוק - בין ""מצפון כולל"" לבין ""מצפון סלקטיבי"" - יוחלו וייושמו36 סעיף . אכן, אף בית-המשפט בענייננו סבר כי ""עניינו 39אף על הוראת סעיף [ 39]","This conclusion made me - very close to supposing that the differences made in the matter of law - between ""including conscience"" and ""selective conscience"" - will be applied and implemented."
"'המונעים)ג( לחוק המדבר בטעמי מצפון 39בבירור גם מלשונו של סעיף , בהבדלככלל הווי אומר – משירות בטחון ', אותה מלשרת בשירות בטחון ,13משירות בטחון המותנה בתנאים כאלה ואחרים"" )שם, פיסקה ההדגשה במקור - מ' ח'(. בעניין זה הלך בית המשפט בדרכה של","In the words of the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him) and the Holy Prophet (peace and blessings of Allah be upon him)."
"נ'הורוביץ 269/51 )השוו: בג""צ 39הפסוקה בעניינו של סעיף ההלכה ( ובדרך הסלולה שכבש בית-משפט זה 1656, פ""ד ה אלוף מזא""ה ו-36בסוגיית הסירוב. מודע אני כמובן להבדלים שבין הוראות הסעיפים שלחוק, אלא שלא מצאתי כי במהותם של דברים קיים הבדל ביניהם39",In the words of the Holy Prophet (peace be upon him) and the Holy Prophet (peace be upon him) in the words of the Holy Prophet (peace be upon him) in the words of the Holy Prophet (peace be upon him) in the words of the Holy Prophet (peace be upon him).
"לענייננו הנה-כי-כן, אפילו תתקבל העתירה לדיון נוסף ותשונֶה .12 .13 ההלכה שנפסקה, קרוב להניח כי הלכה חדשה שתיפסק תחיל על עניינן , אותם מבחנים שנקבעו לעניינם של 39של נשים בהקשרו של סעיף","In this case, even the request for a further discussion will be accepted.12.13 The move that has been stopped, is almost supposed to be a new move that will be stopped first on their affairs, the same tests that have been established for the affairs of 39 of the women in connection with Article 13"
"39 שלחוק. כך ייקבע כי הוראת סעיף 36גברים בהקשרו של סעיף - שלחוק לא תזכה בפטור משירות ביטחון ""סרבניות סלקטיביות"" דוגמת העותרת - המסרבות לשרת שירות ביטחון מטעמים אידיאולוגיים ומדיניים. ההכרעה בדיון הנוסף יכול אפוא שלא תהא לה השפעה","39 of the law. thus shall be stipulated that the provisions of article 36 men in connection with the article - that the law won't get exempt from the security service ""selective rebels"" such as the title - refusing to serve the security service for ideological and political reasons."
"ממשית על העותרת, ובפועל אפשר שלא תהא לה כל תוצאות בעולם סרבניות אידיאולוגיות מלאות תזכינה ממילא לפטור, בין המעשה; , ואילו39 בין מכוחה של הוראת סעיף 36מכוחה של הוראת סעיף ""סרבניות סלקטיביות"" לא תזכינה לפטור, לא מכוחה של הוראת סעיף","In fact on the title, and in practice it is possible that it will not have any results in the world of the complete ideological rebellion that will at all be exempt, between the fact; while 39 between the power of the provision of article 36The power of the provision of article ""selective rebellion"" will not be exempt, not from the power of the provision of article."
"ידענו, אין זה . במקרים מעין-אלה, 39 ולא מכוחה של הוראת סעיף 36 מדינת 2353/03. ראו והשוו: דנ""פ ראוי להורות על קיומו של דיון נוסף , פ""ד יבאניות מיכל ומשא נ' שר האוצר 3/58 )לא פורסם(; ד""נאסלאן נ' ישראל","We know, it is not. in such cases, 39 and not from the power of the provisions of Article 36 of the State 2353/03. see and compare: DNA is worthy of ordering the existence of a further discussion, F.D. Yabaani container and S.N. Minister of Finance 3/58 )not published(; D.N. N. Israel"
"808/95; דנג""ץ794 ,789, פ""ד יבווליס ואח' נ' ריבלין ואח' 8/58; ד""נ1849 ; דנ""א841-840 ,837 (1 פ""ד מט היועץ המשפטי לממשלה, נ' אמיתי וכו' )לא פורסם((. אוסיף ואדגיש: איילון חברה לביטוח נ' ציון חיימס 3444/97","808/95; DGZ794,789, P.D. Yebvalis and Ah. N. Rivlin and Ah. 8/58; D.N.1849; D.A.841-840,837 (1 P.D.M. Legal Adviser to the Government, N. Real, etc.)Not Published(."
"אינני קובע במפורש כי זו אמנם תהא תוצאת פסק הדין בדיון הנוסף ואולם עוסקים אנו בסיכויים ובסבירויות, ואלה מכריעים את הכף לחובת והעותרת. למותר לומר כי אינני דן בשאלה מה ייעשה בעותרת, ואם נכון .13","I do not clearly say that this will be the result of the judgment in the further discussion but we deal with the possibilities and probability, and these determine the cover of the obligation and the title."
"לשפוט אותה ולשולחה לכלא. שאלה זו לא הועמדה להכרעתי וממילא לא אכריע בה. אעיר עם זאת, כי לא נוכל להתעלם מן העובדה שבנושא זה של גיוס לצבא נקבעו בחוק הסדרים מיוחדים לנשים, בשונה מן ההסדר החל על גברים.","This question has not been submitted to my judgment and I will never decide on it. However, I will not be able to ignore the fact that in this subject of recruitment to the army specified in the law special arrangements for women, unlike the arrangement applied to men."
"העתירה נדחית. ממילא נדחית גם בקשתה של האגודה לזכויות .14 האזרח בישראל להצטרף לעתירה כ""ידיד בית המשפט"". נ(.7.11.04היום, כ""ג בחשוון תשס""ה ש ו פ ט","The claim is rejected. however, the request of the Association for the Rights of the Citizen of Israel to join the claim as a ""Friend of the Court"" is also rejected."
