hebrew,english
"äáçðä áéï èòí ìèòí - áéï ""ñøáðåú îìàä"" ìáéï ""ñøáðåú ñì÷èéáéú"". ãé ìä ìèòðúä, ùúåëéç ëé èòîé îöôåï - ëì èòîé îöôåï ùäí - îåðòéí îîðä îùøú ùéøåú áéèçåï, åæëàéú äéà ìôèåø îùéøåú áéèçåï.","Difference between taste and taste - between ""full rejection"" and ""selective rejection.""It is enough for her claim, which proves that the flavours of conscience - all the flavours of conscience they are - prevent her from serving a security service, and she is entitled to be exempt from the security service."
"áéú-äîùôè, îôé äùåôèú ôøå÷ö'éä åáäñëîú äîùðä .4 .5 ìðùéà äùåôè îöà åäùåôè ìåé, áçï àú èòðåú äòåúøú ìòåî÷ï, ðéúç àú äåøàåú äçå÷ åàú ääìëä äôñå÷ä, ôéøù àú ùðãøù ìôéøåù, . èòí äãçéä, áúîöéú: ò÷øåï äùååéåïåìñåó äçìéè ìãçåú àú äòúéøä","The court, according to the judge Proccia and in the subconsensus.4.5 to the president of the judge found and the judge Levi, examined the allegations in depth, analyzed the provisions of the law and the passage of the passage, explained what was required to interpret,."
"îçééá äðäâú ùååéåï áéï âáøéí ìáéï ðùéí áîúï ôèåø îùéøåú öáàé äîééñã òöîå òì èòîé îöôåï, åëðãøù îëê éù ìôøù àú äçå÷ ë÷åáò ëé òðééðï ùì ðùéí äîñøáåú ìùøú îèòîé îöôåï àéãéàåìåâééí îåñãø 12 ìçå÷. åëàîåø áôñ÷ä 36 äåà - áãåîä ìâáøéí - ãåå÷à áñòéó àó","The rule of law requires equality between men and women in giving exemption from the military service the founder himself on the taste of conscience, and it requires that the law be interpreted as stipulating that the interest of women refusing to serve for ideological reasons is regulated by the law."
"ìôñ÷ äãéï: òøê äùååéåï äîäåúé îöãé÷, àéôåà, äúééçñåú ùååéåðéú áéï âáø ìàùä áäôòìú ñîëåú ùø ìçå÷ ìôèåø éåöà öáà 36ôé ñòéó äáèçåï òì îùéøåú áùì èòîé îöôåï. ëê äåà áàùø ìäçìú äôèåø òì ñøáðåú îöôåï ëììéú, åëê äåà áàùø ìàé äçìú äôèåø òì ñøáðåú","The judgment: the value of substantial equality justifies, therefore, the equal treatment between a man and a woman in the exercise of the authority of the minister to the law for the exemption of the army 36a Section of security on service due to the tastes of conscience. so it is in relation to the application of the exemption on general conscience refusal, and so it is in relation to the application of the exemption on refusal"
"ðñì÷èéáéú. àùø ìôèåø îùéøåú áéèçåï äðéúï ìàéùä î""èòîéí ùáîöôåï"" ùìçå÷, ôèåø æä ìà ðåòã ìèòîé-îöôåï àéãéàåìåâééí 39ëäåøàú ñòéó åîãéðééí, àìà ìèòîé îöôåï ùî÷åøí áîéðäâé ãú, áîñåøú àå áäååé .îùôçúé äîåðòéí îàéùä, áàùø äéà àéùä, îùøú ùéøåú öáàé","This exemption is not intended for the ideological and political senses, but for the senses of the conscience that arise from religious customs, tradition or existence."
"(:13åáìùåðä ùì äùåôèú ôøå÷ö'éä )áôñ÷ä äôèåø îùéøåú öáàé äðúåï ìàùä òì ôé îèòîé îöôåï àå òì ø÷ò äååé 39ñòéó îùôçúé ãúé, ðåòã áéñåãå ìäëéø åìëáã àú îðéòåúï ùì ðùéí îìùøú áîñâøú äöáà òì ø÷ò úôéñåú ãú, îðäâéí åîñåøåú òãúéåú","In the sentence of the exemption from military service given to a woman on the grounds of conscience or on the grounds of a religious family section, it is essentially intended to recognize and respect the motivation of women to serve within the army on the grounds of religious concepts, customs and religious traditions."
"ôèåø ""îèòîé îöôåï"" àìéäï äï îùúééëåú. áä÷ùø äîéåçã ùì äåøàä æå ÷ùåø ÷ùø äãå÷ òí èòîéí ùáäëøä ãúéú, îñåøúéú àå îéðäâéú – òãúéú, äîåðòéí îàùä îìùøú ùéøåú áèçåï áàùø äåà ùéøåú áèçåï.","In the special context of this provision is linked closely to flavours in religious, traditional or religious consciousness, which prevent a woman from serving a security service in which it is a security service."
"åáñéëåí àåúä ôéñ÷ä áòåã ñîëåú äôèåø äëììéú òì ôé ñòéó ìçå÷ òåñ÷ú áîöáéí ùì ñøáðåú îìàä àå36 ìâáø åìàùä äîùåúôéí ñì÷èéáéú îèòîéí áìà äáãì, äîúàôééðéí áéñåãåú àéãéàåìåâééí, ôåìéèééí, çáøúééí, àå èòîéí ùáîçåééáåú îåñøéú àéùéú, äôèåø ìàùä","In conclusion, whereas the authority of the general exemption according to a section of the law concerns the situations of complete refusal to the man and the woman which are selectively shared for reasons without distinction, characterized by ideological, political, social, or tastes in personal moral obligation, the exemption to the woman"
"îúàôééï áäéåúå 39îëç äãéï òì ôé ñòéó òðééðå áèòîéí ìàùä áàùø äéà àùä. îéåçã ä÷ùåøéí áîñåøú, îéðäâéí, àîåðåú åàåøçåú çééí ãúééí åòãúééí. äåà ðåáò îääëøä áãáø äöåøê ìäáéï åìëáã úôéñåú ãúéåú åîñåøúéåú ùì ÷äéìåú ùåðåú áöéáåø äéùøàìé","Specifically related to tradition, customs, beliefs and religious and religious lifestyle. It is derived from the recognition of the need to understand and respect the religious and traditional concepts of different communities in the Israeli public."
"áäúééçñåúï ìîòîã äàùä áòãä åáîùôçä ... )ääãâùä áî÷åø - î' ç'( åìòðééðä ùì äòåúøú: èòîéä ìñéøåá ìùøú áöáà àéðí .5 .6 ìçå÷(, åî÷åøí àó 36òåìéí ëãé ""ñøáðåú îìàä"" )ëðãøù îëåç ñòéó","In reference to the status of the woman in her and in the family... )the emphasis originally - M.H. ( and the matter of the headline: the taste of refusal to serve in the army is not.5.6 of the law, and originates even 36 of the ""full refusal"" as required by the force of the article"
"39àéðå áîéðäâé ãú, áîñåøú àå áàåøçåú çééí )ëðãøù áäåøàú ñòéó ìçå÷(. åäîñ÷ðä: àéï äòåúøú æëàéú ìôèåø îùéøåú - ìà îëåçå ùì ìçå÷. òúéøúä ùì äòåúøú 39 ùì ñòéó àó ìà îëåçå 36ñòéó ðãçúä àôåà.","It is not in religious habits, traditions or ways of life (as required in the provisions of a section of the law) and the conclusion: the subject has no right to be exempt from service - not from the force of the law."
"åòúéøúääòåúøú àéðä îùìéîä òí úåöàú ôñ÷ äãéï, .6 .7 òúä äéà ëé àåøä òì ÷éåîå ùì ãéåï ðåñó áôñ÷ äãéï àùø ""çåìì îäôëä ùì îîù áôøùðåú äðäåâä îæä ùðéí ... áéçñ ìôèåøéí (. ìèòðúä ùì 1äðéúðéí ìðùéí îçåáú ùéøåú áéèçåï"" )ñòéó","The judgment is not complementary to the outcome of the judgment,.6.7 now is that it shows the existence of a further discussion in the judgment that “proves a real revolution in the interpretations of the practice for years... in relation to exemptions (."
"äòåúøú, áäëøéòå ëôé ùäëøéò çéãù áéú-äîùôè äìëä, åäìëä æå ñåúøú äìëåú ÷åãîåú ù÷áòå ëé ôèåø îùéøåú áéèçåï îèòîé îöôåï ìçå÷. éúøä îæàú: äìëä 39ìðùéí îåñãø áàåôï áìòãé áñòéó ìçå÷ 39ùðôñ÷ä åìôéä äîåùâ ""èòîéí ùáîöôåï"" ùáäåøàú ñòéó","The judgment, as determined by the new court went, and this went contrary to the previous judgments that determined that exemption from security services for reasons of consciousness to the law. Furthermore, the judgment for women was exclusively arranged in Article 39 of the law which was terminated and according to the concept of ""sens in consciousness"" in the provisions of Article 39 of the law."
"òðééðå èòîé îöôåï ùî÷åøí áãú, áîñåøú åáäååé îùôçúé, äìëä ÷ùä","Our affairs of conscience that originate in religion, tradition and family being, went hard."
"àé-ùååéåïäéà äîðåâãú ììùåï äçå÷ åìúëìéúå. éúø-òì-ëï: éåöøú äéà áéï ðùéí çéìåðéåú ìáéï ðùéí ãúéåú, åôåâòú äéà áæëåúï äçå÷éú .åäçå÷úéú ùì ðùéí çéìåðéåú ùîöôåðï îåðò àåúï îùøú ùéøåú áéèçåï","In addition, it creates between secular women and religious women, and it violates the legal and legal rights of secular women who consciously prevent them from serving a security service."
äàí ðéçÈï ôñ÷-äãéï ðåùà äòúéøä áàåúï úëåðåú ééçåãéåú .7 .8 äîöãé÷åú ëé é÷åéí áå ãéåï ðåñó? àåãä åàúååãä: òúéøúä ùì äòåúøú àëïìà ä÷ìä òéîé. àéï ñô÷ áìéáé ëé ôñ÷ ãéðå ùì áéú-äîùôè äòìéåï,The judgment of the applicant has the same unique characteristics.7.8 which justify that there will be a further trial in it? I admit and confess: the judgment of the applicant is indeed no relief with me. I have no doubt that the judgment of the Supreme Court
"÷åáò äìëä çãùä, åìà àê äìëä çãùä àìà äìëä çùåáä ùàôùø àó úäà ùðåéä áîçìå÷ú. áëê îú÷ééîéí áçì÷í äúðàéí ä÷áåòéí ,1984)á( ìçå÷ áúé-äîùôè 30áäåøàú ñòéó ì÷éåîå ùì ãéåï ðåñó. àìà ùçéãåù äéìëúé - åàôéìå çéãåù äéìëúé","It is a new way, not just a new way, but an important way that can even be disputed.There are some of the fixed conditions in 1984.B. Law of the courts, which provides a section for the existence of a further debate.But the renewal of the move - and even the renewal of the move"
"ìçå÷ áúé äîùôè - ìà 30 äîðåéåú áäåøàú ñòéó äðéçï áúëåðåú ÷éåîå ùì ãéåï ðåñó. èòí äãáø äåà, äçå÷ éöãé÷ áëì î÷øä åî÷øä äé÷ðä ìùåôè äãï áòúéøä ìãéåï ðåñó ùé÷åì ãòú øçá ìáçéðä äàí äî÷øä ùìôðéå, òì-ôé ðñéáåúéå åòì-ôé îàôééðéå, îùúééê ìàåúí","The law of the courts - not 30 stated in the provisions of the article stated in the characteristics of the existence of an additional trial. The taste of this is, the law will justify in any case and the case to the judge of the trial requests for an additional trial a broad consideration to examine whether the case before him, according to its circumstances and according to its characteristics, belongs to the same"
".î÷øéí çøéâéí-ùáçøéâéí, ðãéøéí-ùáðãéøéí, ùáäí é÷åéí ãéåï ðåñó )îôé 101 ,99 (3, ô""ã ìå øàù ääåöàä ìôåòì ð' éðàé 6/82åëàîåø áã""ð î""î äðùéà, äùåôè ùîâø(: âí àí ääìëä çùåáä, ÷ùä àå çãùä, àéï áëê áìáã îùåí öéãå÷ ì÷éåí ãéåï ðåñó ...","There are many exceptional, rare and rare cases in which a further discussion will be held (from 101,99 (3, p.d. to the Chief Executive Officer No. 6/82), as stated by the President of the Republic of Lithuania, the Judge of the Republic of Lithuania: even if the move is important, difficult or new, there is no reason for a further discussion."
"ääéòðåú ìá÷ùä ìãéåï ðåñó äéà áâãø ùé÷åìå ùì äùåôè áôðéå äåáàä äòúéøä åäìä àéðå ðåúï ãòúå ø÷ ìäìëä ùðôñ÷ä îáçéðú îøëéáéä åîàôééðéä àìà âí ðå÷è àîú-îéãä îäåúå åèéáå ùì ùì ñéðåï åáçéøä òì éñåã äòðééï äîñåéí ùáôðéå. îùîò, ìöã äçéãåù",The answer to the request for a further trial is within the judgment of the judge to whom the claim has been brought and the law does not only give his opinion to the move that has been interrupted in terms of its components and characteristics but also takes the truth-size of the essence and nature of the filtration and the choice on the basis of the particular matter in front of him.
"ùáäìëä öøéê äòðééï ìäéáçï âí ìàåø îëìåì ðñéáåúéä äñôöéôéåú. )èøí ôåøñí(; ãð""à îãéðú éùøàì ð' éåñó 2757/04øàå òåã: ãð""ô ð'éò÷åáåá 983/02 )èøí ôåøñí(; ãð""ôòéøééú éøåùìéí ð' à.î. çðéåú 3113/03",The issue must also be examined in the light of the sum of its specific circumstances. )not published(; DNA of the State of Israel N.Joseph 2757/04 see more: DNA of N.Jakobov 983/02 )not published(; DNA of the Operation of Jerusalem N.M. Parks 3113/03
")èøí äøîèë""ìð' ÷ìëîï 11061/03; ãð""à385 (4, ô""ã ðå îãéðú éùøàì áôåøñí(. ðúúé àôåà ãòúé ìèòðåúéä ùì äòåúøú åìèòðåú äîãéðä, .8 .9 ìðñéáåú òðééðä ùì äòåúøú åìäùìëåúéå ùì ôñ÷ äãéï, åìàçø ùáçðúé","I have given my opinion to the claims of the head of state and to the claims of the state,.8.9 to the circumstances of the head of state and to the consequences of the judgment."
".îñ÷ðä ëé ãéï äòúéøä ìäéãçåúëì àìä äéâòúé ìëìì øàùéú ìëì, ìà ðîöà ìé - ëèòðú äòåúøú - ëé äìëä .9 .10 àëï, úéîöàðä ìðå áôñé÷ä àîéøåú ùðôñ÷ä ñåúøú äéìëåú òáø. àçãåú ùðéúï ììîåã îäï ëé áéú-äîùôè ñáø ùðùéí æëàéåú ìôèåø",".The conclusion that the law requests to be rejectedThese I reached the first rule of all, I did not find - as the headline claims - that it went.9.10 In fact, we will find in the conclusion statements that stopped against the past move."
"ìçå÷ 36 ìçå÷ åìà îëåçå ùì ñòéó 39îèòîé îöôåï îëåçå ùì ñòéó äîñãéø òðééðí ùì âáøéí. àìà ùàîéøåú àìå - ùàó ìîòìú ""äòøåú ùì âáøéí åáòðééðå ùì ñòéóàâá"" ìà äâéòå - ðëúáå àâá ãéåðéí áòðééðí ìçå÷ åáéçñ ùáéï 39 áìà ùðòøê ëì ãéåï ùäåà áäåøàú ñòéó 36","In accordance with the provisions of paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph 1, paragraph"
". áàåîøí ãáøéí ùàîøå ìà 39 ìáéï äåøàú ñòéó 36äåøàú ñòéó ùìçå÷, àó ìà 39ðúëååðå áúé äîùôè ìôñå÷ äìëä ìòðééðå ùì ñòéó ôñ÷å äìëä, åîîéìà ìà ðåëì ìåîø ëé äìëä ùðôñ÷ä áòðééðä ùì äòåúøú òúä ñåúøú äéìëåú òáø.","By saying the things they said not 39 and the provision of article 36 and the provision of article the law, not even 39 we intend the courts to pass the matter of the article his decision went, and in any case we can not say that the postponed in the matter of the title now contradicts the passage past."
"ùðéú, ðú÷ùä ìåîø ëé ääìëä ùðôñ÷ä îöãé÷ä îáçéðú .10 .11 äé÷ôä åäùôòúä ÷éåîå ùì ãéåï ðåñó. òðééï ëòðééðä ùì äòåúøú àéùä äîñøáú ìùøú ùéøåú áéèçåï îèòîé îöôåï ""ñì÷èéáééí"" - òðééï ðãéø åçøéâ äåà òã-îàåã, åúòéã òì ëê äòåáãä ùæå ìðå äôòí","Second, it’s hard to say that the break is justified in terms of.10.11 the scope and influence of the existence of a further discussion. an interest as an issue of the headline of a woman who refuses to serve a security service for “selective” reasons of conscience – a rare and unusual issue is extremely, and it testifies to the fact that this is our time"
"äåà àôåà áî÷øä äøàùåðä áä ðãøù áéú-äîùôè ìñåâéä æå. äîãåáø ééçåãé, ðãéø åçøéâ. åëôé ùäñáøðå áî÷åí àçø: ""î÷øä ùëæä - ùäåà "" )ãð""ôëä ééçåãé åðãéø - ìà éäéä æä éòéì ìùåá åìãåï áå ãéåï ðåñó","It is therefore the first case in which the court was required for this matter. the question is unique, rare and unusual. and as we explained elsewhere: ""this case - it is "" )DNA is unique and rare - it will not be effective to repeat and discuss it another discussion"
"11061/03 )èøí ôåøñí((. øàå òåã: ãð""à îãéðú éùøàì ð' éåñó 2757/04 ô÷éã ùåîä ð' øåáéðùèééï 8349/03 )èøí ôåøñí(; ãð""à äøîèë""ìð' ÷ìëîï ùø äòáåãä åäøååçä ð' á÷îï 6774/04 )èøí ôåøñí(; ãð""à ìîôòìéí âãåìéí",11061/03 )not published(. see more: DNA of the State of Israel N.Joseph 2757/04 Officer Shuma N.Robinstein 8349/03 )not published(; DNA of the Chief Minister of Labour and Welfare N.Kaman 6774/04 )not published(; DNA of large factories
"ìà ðòìí îîðå ëé ñøáðåú îöôåï - áòé÷ø ñøáðåú îöôåï )èøí ôåøñí(. ñì÷èéáéú - äåôëú áùðéí äàçøåðåú ìúåôòä ùëéçä îùäéúä áòáø,",It has not disappeared from it because conscious refusal – mostly unpublished conscious refusal – has become a common phenomenon in the past few years.
"åàåìí îáçéðä ñèèéñèéú îãåáø, áùìá æä, áî÷øéí ñôåøéí áìáã àùø ìðùéí, ðú÷ìðå òã ëä áî÷øä àçã éçéã åîéåçã - òðééðä ùì .äòåúøú ùìéùéú, åáëê òé÷ø: ìà ðùúëðòúé ëé ÷éåîå ùì ãéåï ðåñó - .11 .12","But statistically it is, at this point, only a few cases that for women, we have encountered so far in one unique and special case - the issue of the third headline, and thus the most important: we will not be convinced that the existence of another discussion -.11.12"
". èòíåàôéìå úùåÌðÆä ääìëä ùðôñ÷ä - éäéä áå ëãé ìñééò ìòåúøú äãáø: âí àí ðçìå÷ òì îñ÷ðú áéú-äîùôè ëé äîåùâ ""èòîéí ìçå÷ ùéøåú áéèçåï îöîöí òöîå ìèòîé 39ùáîöôåï"" áäåøàú ñòéó îöôåï ùî÷åøí áãú, áîñåøú åáäååé îùôçúé àå òãúé - àåãä ëé","The taste and even the change of the move that has been stopped - will be in it to help address the matter: even if we share the court's conclusion that the concept of ""smack of the law of security service is reduced to my taste 39 in conscience"" in the provision of a section of conscience that is derived from religion, tradition and family or testimony - I will admit that"
"îñ÷ðä æå ÷ùúä òìé - ÷øåá îàåã ìäðéç ëé äáçðåú ùðòùå ìòðééðå ùì ìçå÷ - áéï ""îöôåï ëåìì"" ìáéï ""îöôåï ñì÷èéáé"" - éåçìå åééåùîå36 ñòéó . àëï, àó áéú-äîùôè áòðééððå ñáø ëé ""òðééðå 39àó òì äåøàú ñòéó [ 39]","This conclusion made me - very close to supposing that the differences made in the matter of law - between ""including conscience"" and ""selective conscience"" - will be applied and implemented."
"'äîåðòéí)â( ìçå÷ äîãáø áèòîé îöôåï 39ááéøåø âí îìùåðå ùì ñòéó , áäáãìëëìì äååé àåîø – îùéøåú áèçåï ', àåúä îìùøú áùéøåú áèçåï ,13îùéøåú áèçåï äîåúðä áúðàéí ëàìä åàçøéí"" )ùí, ôéñ÷ä ääãâùä áî÷åø - î' ç'(. áòðééï æä äìê áéú äîùôè áãøëä ùì","In the words of the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him), the Holy Prophet (peace and blessings of Allah be upon him) and the Holy Prophet (peace and blessings of Allah be upon him)."
"ð'äåøåáéõ 269/51 )äùåå: áâ""ö 39äôñå÷ä áòðééðå ùì ñòéó ääìëä ( åáãøê äñìåìä ùëáù áéú-îùôè æä 1656, ô""ã ä àìåó îæà""ä å-36áñåâééú äñéøåá. îåãò àðé ëîåáï ìäáãìéí ùáéï äåøàåú äñòéôéí ùìçå÷, àìà ùìà îöàúé ëé áîäåúí ùì ãáøéí ÷ééí äáãì áéðéäí39",In the words of the Holy Prophet (peace be upon him) and the Holy Prophet (peace be upon him) in the words of the Holy Prophet (peace be upon him) in the words of the Holy Prophet (peace be upon him) in the words of the Holy Prophet (peace be upon him).
"ìòðééððå äðä-ëé-ëï, àôéìå úú÷áì äòúéøä ìãéåï ðåñó åúùåðÆä .12 .13 ääìëä ùðôñ÷ä, ÷øåá ìäðéç ëé äìëä çãùä ùúéôñ÷ úçéì òì òðééðï , àåúí îáçðéí ùð÷áòå ìòðééðí ùì 39ùì ðùéí áä÷ùøå ùì ñòéó","In this case, even the request for a further discussion will be accepted.12.13 The move that has been stopped, is almost supposed to be a new move that will be stopped first on their affairs, the same tests that have been established for the affairs of 39 of the women in connection with Article 13"
"39 ùìçå÷. ëê éé÷áò ëé äåøàú ñòéó 36âáøéí áä÷ùøå ùì ñòéó - ùìçå÷ ìà úæëä áôèåø îùéøåú áéèçåï ""ñøáðéåú ñì÷èéáéåú"" ãåâîú äòåúøú - äîñøáåú ìùøú ùéøåú áéèçåï îèòîéí àéãéàåìåâééí åîãéðééí. ääëøòä áãéåï äðåñó éëåì àôåà ùìà úäà ìä äùôòä","39 of the law. thus shall be stipulated that the provisions of article 36 men in connection with the article - that the law won't get exempt from the security service ""selective rebels"" such as the title - refusing to serve the security service for ideological and political reasons."
"îîùéú òì äòåúøú, åáôåòì àôùø ùìà úäà ìä ëì úåöàåú áòåìí ñøáðéåú àéãéàåìåâéåú îìàåú úæëéðä îîéìà ìôèåø, áéï äîòùä; , åàéìå39 áéï îëåçä ùì äåøàú ñòéó 36îëåçä ùì äåøàú ñòéó ""ñøáðéåú ñì÷èéáéåú"" ìà úæëéðä ìôèåø, ìà îëåçä ùì äåøàú ñòéó","In fact on the title, and in practice it is possible that it will not have any results in the world of the complete ideological rebellion that will at all be exempt, between the fact; while 39 between the power of the provision of article 36The power of the provision of article ""selective rebellion"" will not be exempt, not from the power of the provision of article."
